System ID,UPC,EAN,Custom SKU,Manufact. SKU,Category,Description,Stock,Sold,Subtotal,Discounts,Subtotal w/ Discounts,Total,Cost,Profit,Margin
210000003694,,,54863,,Product,Nuts flanged 3/8” x 24 threads for coaster axle,16,4,$15.00,$0.00,$15.00,$16.95,$1.80,$13.20,88%
210000003695,,,20045,,Product,Rear mount 26″ & 700″ for disc brake,1,12,$600.00,$29.00,$571.00,$645.24,$390.00,$181.00,31.70%
210000003696,,,24455,,Product,Seat post 30.0mm black alloy 400mm,0,1,$20.00,$0.00,$20.00,$22.60,$9.00,$11.00,55%
210000003697,621920520654,,52-138-08,,Product,CRANK REMOVER 04C2,0,2,$21.20,$0.00,$21.20,$23.96,$12.40,$8.80,41.51%
210000003699,621920363107,,36-124-13,,Product,STEM EXTENSION 22.2mm,0,5,$75.00,$0.00,$75.00,$84.75,$31.50,$43.50,58%
210000003700,621920361905,,36-124-14,,Product,STEM EXTENSION 25.4mm,5,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
210000003701,621920362162,,36-124-23,,Product,STEM EXTENSION 28.6 X 22.2 X 130mm,1,4,$64.00,$0.00,$64.00,$72.32,$28.36,$35.64,55.69%
210000003702,47853647235,,011847-02-700,,Product,"Kenda, Alluvium, Tire, 700x35C, Folding, Tubeless Ready",0,4,$360.00,$18.00,$342.00,$386.46,$180.44,$161.56,47.24%
210000003704,,,X002OIDUSB,,Product,Brake Lever Set,0,8,$127.49,$0.00,$127.49,$144.06,$42.45,$85.04,66.70%
210000003705,840226094847,,253200-01,,Product,CANE CREEK HEADSET ZS44  Short Cover (8mm) - Complete,0,1,$60.00,$0.00,$60.00,$67.80,$32.50,$27.50,45.83%
210000003706,768686199059,,GH-7099240,,Product,DND HEATWAVE/BLK XL,0,1,$40.00,$0.00,$40.00,$45.20,$19.20,$20.80,52%
210000003707,768686183362,,GR-7100322,,Product,CADEN MIPS MAT BLACK S,0,2,$260.00,$13.00,$247.00,$279.11,$130.00,$117.00,47.37%
210000003708,768686266294,,GR-7113320,,Product,RADIX MIPS MATTE BLACK L,0,2,$280.00,$30.00,$250.00,$282.50,$124.80,$125.20,50.08%
210000003710,768686376955,,GR-7129687,,Product,AGILIS MIPS W BLACK CRAZE M,0,1,$130.00,$26.00,$104.00,$117.52,$62.40,$41.60,40%
210000003711,768686377471,,GR-7129734,,Product,SOURCE MIPS W MAT PINK ST S,0,1,$170.00,$17.00,$153.00,$172.89,$81.60,$71.40,46.67%
210000003712,768686377471,,GR-7129735,,Product,SOURCE MIPS W MAT PINK ST S,0,1,$130.00,$13.00,$117.00,$132.21,$81.60,$35.40,30.26%
210000003713,,,041-0260,,Product,WESTWOOD CHROME RED S/15,0,2,"$1,300.00",$0.00,"$1,300.00","$1,469.00",$893.98,$406.02,31.23%
210000003714,,,041-0265,,Product,WESTWOOD CHROME RED M/17,0,3,"$1,950.00",$0.00,"$1,950.00","$2,203.50","$1,340.97",$609.03,31.23%
210000003715,,,041-0270,,Product,WESTWOOD CHROME RED L/19,0,4,"$2,600.00",$0.00,"$2,600.00","$2,938.00","$1,787.96",$812.04,31.23%
210000003716,,,42-0280,,Product,LADIES WESTWOOD MINT GREEN S/14,0,5,"$3,450.00",$0.00,"$3,450.00","$3,898.50","$2,234.95","$1,215.05",35.22%
210000003717,,,42-0285,,Product,LADIES WESTWOOD MINT GREEN M/17,1,5,"$3,525.00",$0.00,"$3,525.00","$3,983.25","$2,333.95","$1,191.05",33.79%
210000003718,,,041-0290,,Product,LADIES WESTWOOD ROUGE PINK S/14,0,1,$650.00,$0.00,$650.00,$734.50,$446.99,$203.01,31.23%
